boundaries,deadends,cornerenc,class
2,2,0a0c1d,b
3,0,1a1d1c,B
3,1,0a1d2c,B
3,0,1a1d1c,B
3,1,2a1d0c,B
3,0,1a1d2c,B
2,4,0a0b0c2b2d0a,A
2,1,0d2b2d1a1c,A
2,3,1b0d2d0a0c,A
2,3,0a0b1c0a,A
2,2,1a0b2d1a0c,A
2,1,0d2d2a1c,a
2,4,0d0b2d0b1a1a0c,a
2,1,1a0d1a1c,D
2,1,1a0d1a1c,D
1,2,1b0a0c,I
1,2,0a2a1d0a2c,S
2,1,1d0d1c,O
2,1,1a0d1a1c,D
1,2,1b0a0c,I
1,2,0a2a1d0a2c,S
2,1,1d0d1c,O
2,1,1a0d1a1c,D
1,2,1b0a0c,I
2,1,1a0d1a1c,D
1,2,1b0a0c,I
2,1,1a0d1a1c,D
1,2,1b0a0c,I
1,2,0a2a1d0a2c,S
2,1,1d0d1c,O
2,1,1d0d1c,O
2,2,0a0c,q
1,2,0a2a1d0a2c,S
2,1,1d0d1c,O
2,2,0a0c,P
1,2,0d0d2c,F
1,2,0a2a1d0a2c,S
2,1,1d0d1c,O
2,2,0a0c,P
1,2,0d0d2c,F
1,2,0b0a2c,t
2,1,1d0d2d1c,e
1,2,1d0a0c,z
1,2,0b0a2c,t
2,1,1d0d2d1c,e
1,2,1d0a0c,z
2,2,0a0c,q
1,2,0d0d2c,F
2,1,1d0d2d1c,e
1,2,0d0d2c,F
